transaction_id,purchase_date,transaction_status,customer_id,customer_name,customer_email,customer_country,customer_city,customer_phone,customer_birthday,customer_address,product_id,product_name,product_category,product_price,quantity_purchased,currency,shipping_address,shipping_city,shipping_country
3306371,2024-08-27T00:00:00,Delivered,38945,Наина Аскольдовна Осипова,svjatoslav_1992@example.com,Kazakhstan,Almaty,8 (593) 824-21-94,2003-06-11,"г. Бугульма, наб. Дорожников, д. 656 стр. 88, 840801",8101,T-shirt,Clothing,8.5,1,USD,"г. Бугульма, наб. Дорожников, д. 656 стр. 88, 840801",Almaty,Kazakhstan
6329565,2024-10-07T00:00:00,Delivered,8073,Власова Агата Юрьевна,marian1983@example.com,Georgia,Kutaisi,+7 393 328 71 15,1998-05-24,"к. Усть-Илимск, бул. Свободный, д. 9 к. 99, 719659",8145,Microwave,Kitchen,25.0,3,USD,"к. Усть-Илимск, бул. Свободный, д. 9 к. 99, 719659",Kutaisi,Georgia
8862804,2024-01-13T00:00:00,Delivered,32793,Герасимов Евгений Гаврилович,kostinaivanna@example.com,Russia,Yekaterinburg,+7 122 018 68 48,1995-07-16,"д. Кырен, пр. 70 лет Октября, д. 259 к. 6/4, 041352",9791,Washing Machine,Home Appliance,100.0,3,USD,"д. Кырен, пр. 70 лет Октября, д. 259 к. 6/4, 041352",Yekaterinburg,Russia
4045472,2024-06-01T00:00:00,Delivered,30693,Аркадий Бориславович Шаров,krasilnikovefim@example.org,Russia,Novosibirsk,88910139916,1963-02-19,"д. Апатиты, алл. Волжская, д. 4/1, 869141",4818,Book A,Books,4.99,1,USD,"д. Апатиты, алл. Волжская, д. 4/1, 869141",Novosibirsk,Russia
8504546,2024-06-05T00:00:00,Pending,46684,Юдин Ладислав Иларионович,ddenisov@example.net,Kyrgyzstan,Tokmok,8 (091) 634-57-92,1990-05-31,"ст. Ершов, наб. Сплавная, д. 397, 769845",1509,Microwave,Kitchen,25.0,8,USD,"ст. Ершов, наб. Сплавная, д. 397, 769845",Tokmok,Kyrgyzstan
2957296,2024-05-20T00:00:00,Shipped,29143,Ипатий Витальевич Шилов,ribakovaanzhelika@example.com,Belarus,Gomel,+7 842 375 9459,2001-08-17,"с. Псков, ул. Молодежная, д. 35 стр. 83, 960696",4733,Book A,Books,4.99,1,USD,"с. Псков, ул. Молодежная, д. 35 стр. 83, 960696",Gomel,Belarus
5828120,2024-09-06T00:00:00,Shipped,48587,Алина Викторовна Третьякова,osipovgleb@example.com,Kazakhstan,Aktobe,8 (789) 007-5470,1995-06-04,"д. Яшкуль, ш. Мельничное, д. 666, 300891",8552,Microwave,Kitchen,25.0,9,USD,"д. Яшкуль, ш. Мельничное, д. 666, 300891",Aktobe,Kazakhstan
7348924,2024-06-09T00:00:00,Delivered,34792,Кошелев Евстафий Ефимьевич,zinaida21@example.com,Russia,Novosibirsk,8 104 714 28 51,1998-04-01,"г. Бавлы, бул. Большевистский, д. 6, 977658",350,Microwave,Kitchen,25.0,6,USD,"г. Бавлы, бул. Большевистский, д. 6, 977658",Novosibirsk,Russia
2432056,2024-01-17T00:00:00,Pending,8628,Мельников Фрол Ермолаевич,kudrjavtsevaviktorija@example.com,Kyrgyzstan,Tokmok,8 551 590 0422,2003-03-15,"с. Уссурийск, наб. Донская, д. 4/1, 281465",6128,T-shirt,Clothing,8.5,9,USD,"с. Уссурийск, наб. Донская, д. 4/1, 281465",Tokmok,Kyrgyzstan
6002146,2024-06-14T00:00:00,Delivered,21129,Велимир Бориславович Шилов,savvati1988@example.com,Belarus,Minsk,+7 717 604 52 29,1975-12-01,"ст. Вендинга, бул. Черноморский, д. 260, 884779",4571,Microwave,Kitchen,25.0,1,USD,"ст. Вендинга, бул. Черноморский, д. 260, 884779",Minsk,Belarus
